%time;field.orientation.x;field.orientation.y;field.orientation.z;field.orientation.w;field.angular_velocity.x;field.angular_velocity.y;field.angular_velocity.z;field.linear_acceleration.x;field.linear_acceleration.y;field.linear_acceleration.z
1441927235741360000;-0.0028805484;0.0139969728;-0.4189804508;0.9078827948;-0.0010559603;0.0030334146;-0.0012005149;0.3976471342;0.2572183397;8.598375535
1441927235761260000;-0.0028488572;0.0139823476;-0.4189809391;0.9078828948;-0.0013196146;0.0025655107;-0.0002515896;0.3977517292;0.2568752754;8.6090130448
1441927235781250000;-0.0028213088;0.0139793256;-0.4189891146;0.9078792544;-0.0001276691;0.0031806174;-0.0013920678;0.3973886587;0.2577376455;8.614970541
1441927235801230000;-0.0027894964;0.0139647247;-0.4189975207;0.9078756979;-6.79339286232e-05;0.0014743321;-0.0004709116;0.3974050142;0.2565633707;8.6115487337
1441927235821320000;-0.0027773088;0.0139494892;-0.4189978728;0.907875807;-0.0021357;0.0017109239;-0.0006034865;0.3965278037;0.2563742235;8.6121521354
1441927235841550000;-0.0027649993;0.0139342792;-0.419006173;0.9078722474;0.0002177757;0.0018123244;-0.0009988644;0.3957183883;0.2417772189;8.6125440836
1441927235861120000;-0.0027251432;0.0139160441;-0.4190226172;0.907865058;-0.0006388429;0.0026006345;-0.0005709771;0.3974823743;0.2587720223;8.6123145223
1441927235881310000;-0.0027013751;0.0139050741;-0.4190229814;0.9078651291;0.0005232969;0.0021244055;-0.0005289372;0.3975817122;0.2405494053;8.6126258612
1441927235901340000;-0.0026934526;0.0139014174;-0.4190231027;0.9078651526;-0.0011948994;0.0013668406;-4.19687705728e-05;0.3634723231;0.2365341812;8.6312781572
1441927235921240000;-0.0026389643;0.0139148674;-0.4190391162;0.9078577154;0.0011662453;0.0014311443;-0.0015581777;0.3137594081;0.2539202392;8.6053091049
1441927235941170000;-0.0026042214;0.0139276627;-0.4190391587;0.9078575999;7.91868660914e-06;0.0015156176;-7.30110355578e-06;0.3821885079;0.2576443497;8.6206791997
1441927235961150000;-0.0025797264;0.0138972144;-0.4190477767;0.9078541586;-0.0010782569;0.0009536403;-0.0003605532;0.3915347353;0.258680132;8.610735631
1441927235981280000;-0.0025638815;0.0138899007;-0.4190480192;0.9078542035;-0.0008801602;0.0030885121;-0.0005439958;0.3975536741;0.25713512;8.612941289
1441927236001430000;-0.0025516948;0.0138746646;-0.4190483682;0.9078543097;-0.0006005859;0.0008671507;0.0002882113;0.3954949968;0.258108693;8.6121568084
1441927236021110000;-0.0025235414;0.0138521378;-0.4190569069;0.907850791;-0.0009497694;0.0031879697;0.0002552057;0.3962233283;0.2569221333;8.6123191953
1441927236041290000;-0.0025112345;0.0138369237;-0.4190651729;0.9078472416;-0.0001347131;0.0007168567;-0.0010804576;0.3967686094;0.2041076213;8.6131282091
1441927236061120000;-0.0024763705;0.0138497396;-0.4190731352;0.9078434665;0.0005388961;0.0026227172;-0.0009061839;0.3135735102;0.2766693909;8.611764276
1441927236081140000;-0.0024458917;0.0138741121;-0.4190729531;0.907843261;-0.0008805654;0.001272142;0.001136937;0.335603293;0.217593601;8.5590557098
1441927236101170000;-0.0024501553;0.0138856913;-0.4190727259;0.9078431774;-0.0009636751;0.0025593168;-0.0007224559;0.4093437366;0.1858716972;8.6332542539
1441927236121150000;-0.0024616153;0.0138814477;-0.419080629;0.9078395631;-0.0011603923;0.0013915747;-0.0006920332;0.3934264258;0.2385864332;8.6079838157
1441927236141150000;-0.0024730755;0.0138772055;-0.419088532;0.9078359485;9.93737487045e-05;0.0014373404;-0.0012622066;0.3957826421;0.1921579465;8.6120896339
1441927236161130000;-0.0024766134;0.013869305;-0.4190965562;0.9078323553;-0.0008603606;0.002230356;-0.000691975;0.3958272912;0.1987687323;8.6134103417
1441927236181150000;-0.0024685697;0.0138656691;-0.4191045952;0.9078287215;-0.0023420112;0.0020909254;0.0002608546;0.3976796992;0.275874177;8.6120802879
1441927236201060000;-0.0024606475;0.0138620117;-0.4191047162;0.9078287431;-0.0006403841;0.0023919022;-0.0008390213;0.3972322226;0.2550759681;8.6121708274
1441927236221200000;-0.002440298;0.0138431604;-0.4191210508;0.9078215445;-0.0007968659;0.0018454683;-0.0010557328;0.3972566098;0.2544179142;8.6124628902
1441927236241260000;-0.0024243326;0.0138358663;-0.4191292102;0.9078179314;-0.0014713328;0.0024110271;-0.0013684752;0.3970843658;0.2573832091;8.6123431444
1441927236261190000;-0.002404104;0.0138169935;-0.4191375956;0.9078144012;-0.0008725003;0.0029712142;-0.0012237057;0.3970948435;0.2587165486;8.6476436019
1441927236283320000;-0.002396182;0.0138133358;-0.4191377161;0.9078144221;-0.0012744343;0.0022924155;-0.0009606359;0.3969959073;0.2582250617;8.6527634621
1441927236300840000;-0.0023881394;0.0138096991;-0.4191457545;0.9078107873;-0.0010209134;0.0008211145;-0.0002683774;0.3967806935;0.2572385103;8.6048499823
1441927236320710000;-0.0023680322;0.0137908039;-0.4191462209;0.9078109118;-0.0008424866;0.0020019477;-0.0013123493;0.3969130345;0.2422698922;8.6414991856
1441927236340810000;-0.0023874154;0.0137902194;-0.4191540031;0.9078072768;6.29909357183e-05;0.0016899737;-0.0004317004;0.3960000098;0.1874010291;8.6131661773
1441927236380900000;-0.0023946141;0.0137743967;-0.419162131;0.9078037452;-0.00170064;0.0011326792;0.0002113506;0.3970692515;0.2526732955;8.6151714802
1441927236401030000;-0.0023540399;0.0137366682;-0.4191868442;0.9077930117;-3.31985076733e-05;0.000887861;-0.0013272828;0.3976300851;0.2596244987;8.612438941
1441927236421190000;-0.0023338139;0.0137177936;-0.4191952257;0.907789479;-0.0003496152;0.0019492344;0.0004564398;0.3965589449;0.25721175;8.6124196649
1441927236441430000;-0.002325892;0.0137141355;-0.4191953454;0.9077894994;0.0003074448;0.0017313231;-0.0005197951;0.3964938149;0.2555681486;8.6122812271
1441927236461260000;-0.0023179697;0.0137104772;-0.419195465;0.9077895196;-0.0005707271;0.0016845465;-0.0002987226;0.3966589764;0.2580558844;8.6124628902
1441927236481300000;-0.002297625;0.0136916212;-0.419211763;0.9077823298;-0.0019929521;0.0009924211;6.42444939561e-05;0.3978722051;0.2579071697;8.6123723507
1441927236501150000;-0.0022772801;0.0136727643;-0.4192280903;0.9077751251;-0.0008186214;0.0008323226;-0.0011014687;0.3962113902;0.2578361254;8.6111421824
1441927236521360000;-0.0022967836;0.0136721608;-0.4192279554;0.9077751474;-0.0014419068;0.0021530995;-0.0008670393;0.3958408721;0.1675555654;8.63462286
1441927236541330000;-0.0023045861;0.0136758393;-0.4192357536;0.9077714708;-0.0017984441;0.0012895056;-0.0006118622;0.3967626952;0.2202031817;8.604979074
1441927236561330000;-0.0023002053;0.0136642793;-0.4192438942;0.9077678964;-0.0008006872;0.0022764532;-0.0011937115;0.39742053;0.251707444;8.6086111665
1441927236581060000;-0.0022763208;0.0136533233;-0.4192521692;0.9077642997;-0.0002328192;0.0017387937;-0.0016395814;0.3973818682;0.2578627761;8.6146784782
1441927236601130000;-0.0022559778;0.0136344651;-0.4192684646;0.9077571077;-0.0011111473;0.0018235151;-0.0006622067;0.3966346256;0.2566732045;8.61175493
1441927236621150000;-0.0022436758;0.0136192467;-0.419276723;0.9077535522;-0.0006280972;0.0018055895;-0.0006718044;0.3967658713;0.242967977;8.6816852689
1441927236641110000;-0.0022558588;0.0136344848;-0.4192763819;0.9077534508;0.0002206556;0.001355887;-0.000497591;0.3969978057;0.1753125332;8.6590463162
1441927236661070000;-0.0022751242;0.013633922;-0.4192921121;0.9077461455;-0.0013367736;0.0021912112;-0.0008549835;0.3964183167;0.1893521179;8.593456614
1441927236681360000;-0.0022629413;0.0136186825;-0.4192924533;0.9077462471;0.0006463442;0.0015216754;-0.0004723254;0.3962751329;0.2636407997;8.6186166525
1441927236701150000;-0.0022469796;0.0136113842;-0.4193006082;0.9077426294;-0.0005450458;0.0008325875;0.0001170831;0.3973190017;0.2537623245;8.6134821892
1441927236721180000;-0.0022230962;0.0136004262;-0.4193088816;0.9077390308;-0.0007380978;0.0039369817;-0.0008332627;0.3972977176;0.2578752071;8.611582613
1441927236741140000;-0.0022073719;0.0135930887;-0.4193012017;0.9077427266;-0.0015323229;0.0008673519;-8.71174292587e-05;0.3971671656;0.2568119891;8.6127263308
1441927236761160000;-0.0021993319;0.0135894489;-0.4193092375;0.9077390887;-0.0008920224;0.0034746694;-0.001091494;0.3973116271;0.2572766975;8.6126544833
1441927236781200000;-0.0021753303;0.0135785092;-0.4193254274;0.9077318315;0.0002274854;0.0019035135;-0.0012986511;0.3972866923;0.2572392222;8.6123384714
1441927236801260000;-0.0021514474;0.01356755;-0.4193336998;0.9077282308;0.0006917244;0.0029884098;-0.0007398268;0.3969155535;0.2403418947;8.6125540137
1441927236821380000;-0.002131825;0.0135681712;-0.4193417816;0.9077245343;-0.0010415097;0.0018921122;-0.0007191277;0.39705965;0.2501004599;8.6124821663
1441927236841620000;-0.0021196429;0.013552931;-0.4193421204;0.907724634;0.0002340452;0.0011005719;0.0007966891;0.3960325383;0.1914190825;8.6132286787
1441927236861260000;-0.0021312253;0.0135486704;-0.4193421043;0.907724678;-0.0011959159;0.0011679964;-0.0006246986;0.3956357345;0.2087341875;8.6129991174
1441927236881090000;-0.0020994216;0.0135340509;-0.419350494;0.9077210943;0.000267698;0.0015230108;-0.0010194576;0.3972004242;0.2725499552;8.6286846399
1441927236901020000;-0.0020834606;0.0135267499;-0.4193586471;0.9077174733;-0.0004917255;0.0026775102;-0.0002610148;0.3976456374;0.2597318318;8.6186259985
1441927236921270000;-0.0020676181;0.0135194308;-0.4193588832;0.9077175095;-0.0002490813;0.0020152154;-0.0001602669;0.3972262718;0.2569214944;8.6086444616
1441927236941250000;-0.0020712793;0.0135115097;-0.4193589847;0.9077175722;0.0002440807;0.001122809;-0.0004360838;0.3777565286;0.189600426;8.6158747673
1441927236961250000;-0.0020792005;0.0135151692;-0.4193588668;0.9077175541;-0.0009350275;0.0023868787;0.000500954;0.4022815496;0.1878704105;8.612429595
1441927236981300000;-0.0021029647;0.0135261481;-0.4193585128;0.9077174993;-0.0011949526;0.0012484393;0.0005623374;0.3885123603;0.2115733843;8.6131661773
1441927237001450000;-0.002090665;0.013510926;-0.4193667674;0.9077139408;-0.0007199556;0.0019937168;-0.000997398;0.3992401905;0.2625300851;8.612257278
1441927237021260000;-0.0020747048;0.0135036248;-0.4193749201;0.9077103195;-0.001352133;0.0016039308;-0.0004524395;0.3965397783;0.2630986035;8.6122812271
1441927237041280000;-0.0020552007;0.0135042262;-0.4193750544;0.9077102929;-0.0007368867;0.0037572355;-0.0005533686;0.3970141612;0.2548526861;8.612434268
1441927237061280000;-0.0020508232;0.0134926634;-0.4193831904;0.9077067157;-0.0017253251;0.0017864551;-0.000764878;0.3981644869;0.2574288987;8.6123577476
1441927237081380000;-0.0020312018;0.0134932826;-0.4193912415;0.9077030308;0.0006939743;0.003050386;-0.0002202778;0.3963305518;0.2240661681;8.6128075242
1441927237101230000;-0.0020505873;0.0134926992;-0.4193990543;0.907699386;-4.01854043658e-06;0.0007620538;-0.0012876796;0.3960738286;0.1736209422;8.6134056687
1441927237121650000;-0.0020741155;0.0135037153;-0.4194145345;0.907692016;-0.0013064055;0.0027796255;-0.0013842228;0.395126085;0.1746750697;8.6134056687
1441927237141300000;-0.002070336;0.0135116543;-0.4194223498;0.9076882953;0.0005669447;0.0034450948;-0.0009650882;0.397592847;0.2498238217;8.6124868393
1441927237161310000;-0.0020624151;0.0135079941;-0.4194224677;0.9076883133;-0.0028602431;0.0013703261;4.45491182886e-05;0.3985337272;0.2633256275;8.6123051763
1441927237181270000;-0.0020421957;0.0134891106;-0.4194308391;0.9076847716;0.0012739453;0.0008297558;0.0002240865;0.3961227857;0.2590477113;8.6123530746
1441927237201200000;-0.0020262362;0.0134818079;-0.4194389912;0.9076811488;-0.0020203478;0.0028029195;-0.0011244328;0.3959164433;0.2571079582;8.6123577476
1441927237221370000;-0.0020023555;0.0134708444;-0.4194472606;0.9076775432;0.0001470746;0.0020398814;-0.001004602;0.397543963;0.2568245843;8.6123770237
1441927237241230000;-0.0019790714;0.0134793823;-0.419455241;0.9076737797;-0.0007296593;0.0020873677;-0.0016402966;0.329932785;0.2565651596;8.5432264924
1441927237261230000;-0.0019478678;0.0134842586;-0.4194633091;0.9076700463;0.0010118479;0.0012394246;0.0002184184;0.394618699;0.256043645;8.5413175702
1441927237281240000;-0.0019477502;0.0134842756;-0.4194712257;0.9076663877;-0.000688137;0.0025801165;-0.0014806246;0.3867836773;0.1889532879;8.602265811
1441927237301240000;-0.0019711594;0.0134953087;-0.419494622;0.9076553604;-0.001214221;0.002279418;-0.0013277541;0.3966713525;0.1873734474;8.6044095516
1441927237321410000;-0.0019711594;0.0134953087;-0.419494622;0.9076553604;-0.000418102;0.0017470768;-0.0005517143;0.3990569212;0.2466769915;8.6142000794
1441927237341510000;-0.001966901;0.0134837275;-0.4194948405;0.9076554408;-0.0005811979;0.0013994439;0.0004955943;0.3958719768;0.2489464104;8.6134775162
1441927237361460000;-0.0019547215;0.0134684864;-0.4194951764;0.9076555382;-0.0015767659;0.0013172995;-0.0006040054;0.3964065611;0.2592688575;8.6118168473
1441927237381300000;-0.0019388796;0.0134611647;-0.4194954114;0.9076555721;-4.0735465623e-05;0.0024695061;4.2745027409e-05;0.3968817107;0.243123975;8.6127070546
1441927237401300000;-0.0019582664;0.0134605829;-0.4195031934;0.9076519425;-0.0007109273;0.0012952769;-0.0002517684;0.3819339387;0.1667460587;8.6133963227
1441927237421350000;-0.0019630029;0.0134916823;-0.4195106028;0.9076480459;-0.0001099959;0.0010512825;0.000221655;0.3403392732;0.1836509433;8.613118279
1441927237441530000;-0.0019939721;0.0134868425;-0.4195183677;0.9076444614;-0.0003862487;0.0009563598;-0.0021185099;0.4042789668;0.1985020608;8.6131661773
1441927237461290000;-0.0019859339;0.0134831989;-0.4195264017;0.9076408198;-4.10474613466e-05;0.0030974998;-0.0002264716;0.4009020641;0.2237713307;8.6128121972
1441927237481300000;-0.0019780129;0.0134795377;-0.4195265194;0.907640837;-0.0011876375;0.0018982808;-5.56085716355e-05;0.3973146208;0.2647396859;8.6122765541
1441927237501210000;-0.001958392;0.0134801522;-0.4195345702;0.9076371492;0.0001632026;0.0027088686;-0.0007255771;0.3977942608;0.2488186147;8.6124774933
1441927237521310000;-0.0019381748;0.0134612662;-0.4195429397;0.9076336042;-0.0005094088;0.0021085162;-0.0012241667;0.3967238873;0.258529738;8.6123530746
1441927237541510000;-0.0019497585;0.0134570072;-0.4195429227;0.9076336504;-0.0015431307;0.0004555453;-0.0001221507;0.3959431671;0.1892755426;8.6132333517
1441927237561360000;-0.0019653646;0.0134643638;-0.4195585202;0.9076262977;-0.0014366138;0.0023003119;-0.0012146523;0.3960085891;0.2377807233;8.6126352072
1441927237581180000;-0.0019731671;0.0134680424;-0.4195663491;0.9076226072;-0.0002990991;0.0036849858;-0.0010420312;0.3963416867;0.1879034866;8.6132479549
1441927237601400000;-0.0019968112;0.0134790441;-0.4195739125;0.9076188958;-0.0010779365;0.0006948993;-0.0001034336;0.3976562247;0.1786204178;8.6133530974
1441927237621300000;-0.0020242358;0.0134821084;-0.4195736606;0.907618906;-0.001137865;0.0015313291;-0.0001037798;0.3957842484;0.1822383635;8.6133291483
1441927237641590000;-0.0020400766;0.0134894312;-0.4195734252;0.9076188706;0.0001344812;0.0022540199;-0.0002594835;0.3952123895;0.2108542345;8.6129465461
1441927237661490000;-0.0020278984;0.0134741891;-0.4195737616;0.9076189687;-0.0009424028;0.0010557789;0.0003498435;0.397839202;0.2639120713;8.6823786259
1441927237681290000;-0.0020235231;0.0134626249;-0.4195818963;0.9076153896;-0.0003693945;0.0010650744;-0.0016347757;0.3963110931;0.1945000526;8.5995624781
1441927237701380000;-0.0020269511;0.013454741;-0.4195978293;0.907608133;-0.0003125759;0.0017875107;-0.0004489324;0.3969224535;0.2694951613;8.6145014882
1441927237721480000;-0.0020184369;0.0134315774;-0.4195982656;0.9076082933;-0.0020566532;0.0011801161;-0.0007257888;0.397150299;0.2552447438;8.6127310038
1441927237741410000;-0.0020182026;0.0134316126;-0.4196140976;0.9076009738;0.0001128096;0.0019611665;-0.0013439632;0.3961328618;0.1877626576;8.6138460994
1441927237761340000;-0.0019985808;0.0134322264;-0.4196221775;0.9075972725;0.0007914052;0.003431837;-0.00085482;0.3979551874;0.2715181522;8.6119032979
1441927237781280000;-0.0019862868;0.013417;-0.4196304283;0.90759371;-0.001036318;0.0001944387;-0.0011420157;0.397823029;0.254024031;8.6123816967
1441927237801440000;-0.0019776562;0.0133938543;-0.4196387788;0.9075902098;-0.0003551075;0.0012113722;-0.0008289984;0.396049697;0.2553743649;8.6124774933
1441927237821330000;-0.0019618154;0.0133865301;-0.4196390125;0.9075902441;-0.0013314834;0.0018474125;-2.27596607438e-05;0.3959423639;0.258412566;8.6123291254
1441927237841400000;-0.0019499982;0.0133908221;-0.419654861;0.9075828783;-0.0005436301;0.0030900026;-0.000866143;0.3975743376;0.2241424877;8.6128121972
1441927237861250000;-0.0019736419;0.013401826;-0.4196624261;0.9075791668;-0.0011329034;0.0028942577;-0.0020160829;0.3978380702;0.1893509496;8.6132333517
1441927237881330000;-0.0019857017;0.0134170866;-0.4196700074;0.9075754093;-0.0002015771;0.0027884784;0.000386355;0.3963676438;0.1958915673;8.6131521583
1441927237901370000;-0.0019734077;0.0134018605;-0.4196782878;0.9075718322;-0.0007000307;0.0019591427;-0.0013604171;0.3965809591;0.2535656933;8.612424922
1441927237921640000;-0.0019891307;0.0134092025;-0.4196859695;0.9075681372;0.000348325;0.001689299;-0.0005473611;0.395530957;0.1800589181;8.6133431673
1441927237941670000;-0.0019730571;0.0134019121;-0.4197020348;0.9075608507;-0.0015232665;0.001820616;-0.0016764817;0.3972397067;0.2722762741;8.6121760845
1441927237961390000;-0.0019688008;0.0133903296;-0.4197022519;0.9075609305;-0.001536849;0.0014970624;0.0001866738;0.396945782;0.2531208817;8.612434268
1441927237981510000;-0.0019645446;0.0133787483;-0.4197024688;0.9075610102;-0.0014302266;0.0012126853;-0.0002946886;0.3967282318;0.2561643217;8.6124009728
1441927238001410000;-0.0019406684;0.0133677775;-0.4197107345;0.9075574007;-0.0007177958;0.0008487236;-0.0006922891;0.3968710139;0.2568729937;8.6123910427
1441927238021450000;-0.0019248282;0.0133604521;-0.4197109678;0.9075574345;-0.0008649474;0.003079815;-0.0002105411;0.3631432414;0.2565686278;8.612252605
1441927238041310000;-0.0019052083;0.0133610622;-0.4197190169;0.9075537445;0.000280784;0.0023572538;-0.0004052357;0.3854304776;0.2578736372;8.6812401652
1441927238061200000;-0.0018894847;0.0133537201;-0.4197113344;0.9075574383;-0.0007383732;0.0016507404;0.0008806153;0.4143385209;0.2567020457;8.5988346577
1441927238081160000;-0.0018815649;0.0133500575;-0.419711451;0.9075574547;-0.0006824605;0.0023391204;-0.0005372807;0.3902379036;0.2579917766;8.6148414493
1441927238101220000;-0.0018614686;0.0133311506;-0.4197118995;0.9075575666;0.0003419106;0.0023149975;0.0001333409;0.3948405936;0.2570832789;8.6126831055
1441927238121310000;-0.0018375929;0.0133201787;-0.4197201639;0.9075539544;-0.0010767284;0.0020957617;-0.0015024845;0.3973290414;0.2563606791;8.6129751682
1441927238141400000;-0.0018296726;0.0133165158;-0.4197202802;0.9075539704;-0.0004588071;0.0017966629;-4.45866015005e-05;0.3977848418;0.2572835609;8.6120896339
1441927238161230000;-0.0018172647;0.0133013024;-0.4197364725;0.9075467297;-0.002034992;0.0020535444;-0.0014265636;0.3971304387;0.2580433987;8.6123670936
